Identificacao;Data_remocao;Situacao;Descricao;Cidade;Distrito;Regiao;Fonte;Mapeamento_anterior;Justificativa;Observacao;Tipologia;Propriedade;Proprietario;Familias_ameacadas;Familias_removidas;Movimento;Zoneamento;Inicio_ocupacao;Endereco;Latitude;Longitude;Links;;;;;;;;;;;;;
MALOCA ALCANTARA MACHADO;12/09/2019;REMOCAO TOTAL;Incendio atingiu a comunidade que vivia em baixo do viaduto Alcantara Machado. Mais de 100 familias ficaram desabrigadas. Em nota, os moradores afirmam  que o fogo foi iniciado com algum combustivel. O documento tambem destaca a maior preocupacao do poder publico e da midia com a liberacao das vias do que com as vidas das pessoas.;SAO PAULO;MOOCA;LESTE 1;Denuncia via parceiros do Observatorio de Remocoes;NAO;INCENDIO;;TERRENO VAZIO;PUBLICA;;;100;;;;Viaduto Alcantara Machado;-23.55254;-46.61067;;;;;;;;;;;;;;
COMUNIDADE DO ESCADAO;12/09/2019;REMOCAO TOTAL;Terreno ocupado na regiao da COHAB V, em Carapicuiba, alvo de processo de reintegracao de posse marcada. Aproximadamente 3000 pessoas foram removidas.;CARAPICUIBA;;RMSP;Clipping;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PUBLICA;COHAB;;700;;;2016;Rua Alterosa;-23.53639929;-46.82265222;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://g1.globo.com/sp/sao-paulo/noticia/2019/09/12/policia-militar-realiza-reintegracao-de-posse-em-carapicuiba.ghtml"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
JARDIM IEDA;08/08/2019;REMOCAO PARCIAL;Favela citada no Habitasampa - Plano Municipal de Habitacao 2012 (Plano de Acao Leste - Previsao de Intervencao nos perimetros de acao integrada entre 2009 e 2014).  Foi possivel de observar remocao proximo ao endereco atraves do google earth, a partir de 08/08/2019;SAO PAULO;LAJEADO;LESTE 2;Dados oficiais – Habitasampa;NAO;;;;PUBLICA;PREFEITURA;;54;;ZEIS-1 | ZEUP        ;1966;Rua Roque Gonzales / Rua Capitao Pucci;-23.543256°;-46.409122°;;;;;;;;;;;;;;
MORRO DOS MACACOS;05/07/2019;REMOCAO PARCIAL;Em 2010, a Secretaria Municipal de Habitacao de Sao Paulo removeu 950 familias da area e, segundo a Prefeitura da Capital, o terreno, que e particular, esta ocupado hoje por aproximadamente 1.200. Ainda conforme a prefeitura, a remocao ocorre por conta do risco que os moradores correm. (Fonte: Diario Regional do ABC);SAO PAULO;PEDREIRA;SUL 2;Clipping;NAO;AREA DE RISCO;;TERRENO VAZIO;PRIVADA;;1200;800;Almuf (Associacao de Luta e Moradia Unindo Forca);;;Av. Alda, 1891-1913 - Eldorado, Sao Paulo - SP, 4476-24, Brazil;-23.702262734332700;-46.626362900524800;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://www.diarioregional.com.br/2019/06/08/morro-dos-macacos-passa-por-nova-reintegracao-de-posse/"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
CORREGO DO BISPO;05/06/2019;REMOCAO TOTAL;A remocao e resultado de uma Acao Civil Publica promovida pelo Ministerio Publico contra a Prefeitura de Sao Paulo cobrando sua atuacao para garantir a seguranca das familias, ja que a area e demarcada como R4, ou seja, a de mais alta suscetibilidade a acidentes geotecnicos. A demarcacao como R4 foi feita sobre uma area de 2,4 km, atingindo cerca de 2 mil familias. A Acao Civil Publica foi instaurada em novembro de 2018 e a resposta do Executivo foi marcar a remocao para 21 de dezembro do mesmo ano, sem que a prefeitura tivesse realizado nenhum cadastramento e atendimento das familias;SAO PAULO;CACHOEIRINHA;NORTE 2;Pesquisas de campo do Observatorio de Remocoes;NAO;AREA DE RISCO;;TERRENO VAZIO;PUBLICA;;;500;;;1980;;-23.453479;-46.664232;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;""> <a href=""http://www.labcidade.fau.usp.br/justica-paulista-e-politica-habitacional-reproduzem-cenario-de-precariedade-habitacional-no-corrego-do-bispo/"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
OCUPACAO CAGUASSU;30/05/2019;REMOCAO TOTAL;"A Ocupacao Caguassu, coordenada pelo MSTC (Movimento dos Sem-Teto do Centro), comecou em agosto de 2015 em um terreno de 20 mil metros quadrados que pertencia a construtura PDG, cliente do Banco Pan, de acordo com a instituicao. Em 23 de marco do ano passado, de acordo com o Diario Oficial de Sao Paulo, a empresa entrou em recuperacao judicial.
Alguns dias antes da reintegracao, a situacao estava tensa porque os moradores temiam repressao policial. A escola estadual que fica na mesma rua teve ordem de suspender as aulas por questoes de seguranca. (Fonte: Ponte Jornalismo)";SAO PAULO;SAO MATEUS;LESTE 2;Denuncia via parceiros do Observatorio de Remocoes;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PRIVADA;;;200;MSTC;;2015;Rua Andre de Almeida;-23.59413;-46.47832;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://ponte.org/mais-de-200-barracos-sao-demolidos-em-reintegracao-de-posse-na-zona-leste-de-sp/"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
JARDIM COPACABANA;17/04/2019;REMOCAO PARCIAL;Mais de 100 familias ficaram sem casa no Jardim Copacabana, extremo sul da cidade de Sao Paulo, em uma reintegracao de posse nesta quarta-feira (17/4). Os moradores denunciam que a area da decisao judicial foi ampliada e atingiu casas e barrados que estariam inicialmente fora da acao. (Fonte: Ponte Jornalismo);SAO PAULO;JARDIM ANGELA;SUL 2;Clipping;NAO;AREA DE RISCO;Deslizamento / Solapamento;TERRENO VAZIO;PUBLICA;PREFEITURA;;100;;ZEIS-1 | ZEIS-4 | ZMa;1957;R SANTA RITA DO SAPUCAI;-23.6904899399963;-46.7692910873231;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://ponte.org/reintegracao-de-posse-deixa-ao-menos-100-familias-sem-casa-em-sp/"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
CONJUNTO SABESP - REDONDINHOS;09/04/2019;REMOCAO TOTAL;"Nota a imprensa emitida pela Policia Militar do Estado de Sao Paulo informou que haveria a reintegracao de posse no dia 09 de abril. Vivem atualmente mais de quatro mil familias no terreno e em sete edificacoes inacabas, obras de habitacao social deniminadas denominados oficialmente como ""conjunto Sabesp"", mas conhecidas como Redondidnhos. ";SAO PAULO;SACOMA;SUL 1;Denuncia via parceiros do Observatorio de Remocoes;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PUBLICA;CDHU;;4120;;;;R. Joao Lanhoso, 241 - Sao Joao Climaco;-23.61789;-46.58361;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://www1.folha.uol.com.br/cotidiano/2017/08/1906389-sem-teto-invadem-torre-inacabada-em-heliopolis-projetada-por-ruy-ohtake.shtml"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
FAVELA DO CIMENTO;23/03/2019;REMOCAO TOTAL;Ocupacao embaixo do Viaduto da Bresser existente ha pelo menos 5 anos. Vinha sofrendo diversas tentativas de reintegracao de posse. A reintegracao foi marcada para o dia 24 de marco de 2019. Um dia antes da reintegracao a favela foi incendiada de maneira misteriosa. Um dos grupos, vitimas do incendio e da desocupacao  forcada,  se alojaram precariamente em um galpao na Rua do Hipodromo. As pessoas perderam muita quase tudo, muitos so  ficaram com as roupas do corpo. Relatos de varios feridos, ou por balas de borracha ou por queimaduras, pelo menos uma pessoa morreu.;SAO PAULO;MOOCA;LESTE 1;Denuncia via parceiros do Observatorio de Remocoes;SIM;INCENDIO;Reintegracao de posse estava marcada para um dia apos o incencio;TERRENO VAZIO;PUBLICA;PREFEITURA;;300;Coletivo Autonomo dos Trabalhadores Sociais (CATSO);;;Viaduto Bresser, 2141 - Bras, Sao Paulo - SP, Brazil;-23.548613949972918;-46.602412234115604;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://jornalistaslivres.org/nota-do-condepe-violacao-de-direitos-humanos-na-comunidade-do-cimento/"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
BENTRO GUELFI 2;26/02/2019;REMOCAO TOTAL;Reintegracao de posse no Jardim Iguatemi, na zona leste de Sao Paulo, retira mais de quatrocentas familias de dois terrenos particulares. Os moradores da ocupacao alegam que o terreno esta ha mais de trinta anos abandonado e que ja tentou negociacao com o dono do terreno. Nao foi identificada a localizacao exata da ocupacao.;SAO PAULO;IGUATEMI;LESTE 2;Clipping;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PRIVADA;;;400;;;;Avenida Bento Guelfi;-23.61538;-46.42489;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""http://www.tvt.org.br/400-familias-sao-despejadas-na-zona-leste-de-sao-paulo/"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
OCUPACAO HUMAITA;20/02/2019;REMOCAO PARCIAL;Na ultima quarta-feira, dia 20, foram removidas cerca de 150 familias da Vila Leopoldina que ocupavam uma faixa de terreno entre a Marginal Pinheiros e um piscinao. A remocao aconteceu por ato administrativo, conduzido sob alegacao de se tratar de area de risco. Segundo moradores, esta prevista a remocao de outras 550 familias das comunidades do Humaita.;SAO PAULO;JAGUARE;OESTE;Pesquisas de campo do Observatorio de Remocoes;NAO;AREA DE RISCO;;TERRENO VAZIO;PUBLICA;PREFEITURA;550;150;;;;Avenida Doutora Ruth Cardoso - Vila Leopoldina, Sao Paulo - SP, 2675-31;-23.5272961;-46.7494917;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""http://www.labcidade.fau.usp.br/remocoes-na-vila-leopoldina-familias-parcialmente-removidas-e-mais-ameacas-a-vista/"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
JARDIM TANGARA;19/02/2019;REMOCAO TOTAL;A ISA CTEEP informa que o processo de reintegracao de posse realizado no Jardim Tangara, em fevereiro de 2019, teve seu inicio em 2017. A area em questao trata-se de faixa de seguranca de uma linha de transmissao, na qual nao podem haver edificacoes ou moradias de pessoas, pois ha risco para a seguranca destas e para o sistema de transmissao de energia. Ja os moradores afirmam que nenhum orgao publico deu assistencia a moradores. Quem ficou sem teto, contou apenas com caminhao de mudanca;SAO PAULO;GRAJAU;SUL 2;Denuncia via parceiros do Observatorio de Remocoes;NAO;AREA DE RISCO;;TERRENO VAZIO;PUBLICA;PREFEITURA;;60;;;;R. Claudio Artaria, 2-72 - Chacara Gaivotas, Sao Paulo - SP, 4849-32;-23.733484;-46.6679638;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""http://periferiaemmovimento.com.br/grajau-60-familias-sao-removidas-de-moradias-embaixo-de-torre-de-transmissao/?fbclid=IwAR2zKZ3e2SHl8rmv4jYUAJlw0wXdQZVYc3UYkxRrpcnEJNQePrZX-4Dfei4"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
GRUTA DAS PRINCESAS;09/02/2019;REMOCAO TOTAL;Favela citada no Habitasampa - Plano Municipal de Habitacao 2012 (Plano de Acao Leste - Previsao de Intervencao nos perimetros de acao integrada entre 2009 e 2014). Consta Remocao a partir de 09/02/2019 - segundo imagens google earth. Diante de imagens do google earth foi possivel de verificar remocoes a partir da data 09/02/2019;SAO PAULO;JARDIM HELENA;LESTE 2;Dados oficiais – Habitasampa;NAO;;;;PUBLICA;GOVERNO FEDERAL;;450;;ZEIS-1 | ZEPAM | ZMa | ZEUa        ;1968;Rua Gruta das Princesas        ;-23.482002°;-46.393631°;;;;;;;;;;;;;;
VANDERLEI DO PRADO ;01/02/2019;REMOCAO TOTAL;Favela citada no Habitasampa - Plano Municipal de Habitacao 2012 (Plano de Acao Leste - Previsao de Intervencao nos perimetros de acao integrada entre 2009 e 2014). A partir de 2018 e possivel visualizar remocao no local, mas apenas em fev/2019 ha remocao total.;SAO PAULO;JARDIM HELENA;LESTE 2;Dados oficiais – Habitasampa;NAO;;;;PRIVADA;;;180;;ZEIS-1 | ZEPAM        ;1990;Rua Agostinho Alves Marinho;-23.486513°;-46.396060°;;;;;;;;;;;;;;
OCUPACAO BAIRRO 13 / COLONIAL;01/02/2019;REMOCAO TOTAL;A area foi reocupada e novamente removida em fevereiro de 2019.;SAO PAULO;SAO MATEUS;LESTE 2;Pesquisas de campo do Observatorio de Remocoes;SIM;REINTEGRACAO DE POSSE;;TERRENO VAZIO;;;;;;;;R. Andre de Almeida, 291 - Cidade Sao Mateus, Sao Paulo - SP, Brazil;-23.59607740210020;-46.474932349182100;;;;;;;;;;;;;;
JD. SAO FRANCISCO I;01/02/2019;REMOCAO TOTAL;Pelas imagens de satelite do google earth houve remocao total das ocupacoes a partir de fevereiro de 2019;SAO PAULO;SAO RAFAEL;LESTE 2;Pesquisas de campo do Observatorio de Remocoes;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;;;;;;;;;-23.637533;-46.454171;;;;;;;;;;;;;;
JD. SAO FRANCISCO II;01/02/2019;REMOCAO TOTAL;Pelas imagens de satelite do google earth houve remocao total das ocupacoes a partir de fevereiro de 2019;SAO PAULO;SAO RAFAEL;LESTE 2;Pesquisas de campo do Observatorio de Remocoes;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;;;;;;;;;-23.635431;-46.456765;;;;;;;;;;;;;;
JD. RODOLFO PIRANI SAO MATEUS;29/01/2019;REMOCAO TOTAL;Remocao no bairro Jardim Rodolfo Pirani, na regiao de Sao Mateus. Mais de 500 familias foram removidas;SAO PAULO;SAO RAFAEL;LESTE 2;Denuncia via parceiros do Observatorio de Remocoes;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PUBLICA;PREFEITURA;;500;;;;Rua Morro das Pedras no Sao Francisco;-23.63401;-46.45779;;;;;;;;;;;;;;
OCUPACAO LUANA BARBOSA;23/01/2019;REMOCAO TOTAL;A Ocupacao Luana Barbosa, na Vila Pompeia, que durante 1 ano e 3 meses teve um importante papel na vida de 24 familias. O predio em questao foi um dos muito imoveis da regiao a serem desapropriados para a construcao da linha laranja do metro.;SAO PAULO;LAPA;OESTE;Denuncia via parceiros do Observatorio de Remocoes;NAO;OBRAS PUBLICAS;;EDIFICACAO;PUBLICA;GOVERNO DO ESTADO;;24;Terra Livre;;;Rua Dr. Augusto de Miranda, 22;-23.52411;-46.6862;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://www.facebook.com/376524479098316/posts/1998876403529774/"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
SITIO DOS PINTOS/COLINA DOS PINHEIROS;17/01/2019;REMOCAO PARCIAL;Acao de reintegracao de posse de marco de 2015, de ocupacao espontanea e nao organizada de fevereiro do mesmo ano, formando a Associacao Colina dos Pinheiros. Algumas familias moravam desde 2013 na area. Liminar para desocupacao em marco de 2016, e remocao reaizada em janeiro de 2019 (http://www.labcidade.fau.usp.br/reintegracao-de-posse-deixa-mais-de-400-familias-sem-casa-na-zona-norte-de-sao-paulo/). ;SAO PAULO;TREMEMBE;NORTE 1;Dados oficiais - Defensoria Publica de Santana;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PRIVADA;;420;420;;ZPDS;2015;Rodovia Fernao, Dias, km. 79,52, glebas A e B do Sitio dos Pintos, Parque Edu Chaves;-23.412335;-46.581286;;;;;;;;;;;;;;
OCUPACAO VILA PRUDENTE / VILA EMA;08/01/2019;REMOCAO TOTAL;A remocao se deu por conta da interdicao do predio, que segundo a prefeitura esta com a estrutura comprometida.;SAO PAULO;VILA PRUDENTE;LESTE 1;Dados oficiais - Visitas nas ocupacoes de moradia realizada pela PMSP;NAO;AREA DE RISCO;;EDIFICACAO;PRIVADA;;;200;;;;Av. Vila Ema, 483;-23.579535;-46.571609;;;;;;;;;;;;;;
AV. DA ESTACAO;2019;REMOCAO TOTAL;Imagens encontradas a partir do google satelite, remocao aparentemente para realização de obras ;SAO PAULO;JARDIM HELENA;LESTE 2;Pesquisas de campo do Observatorio de Remocoes;NAO;;;;;;;;;;;;-23.485530°;-46.401608°;;;;;;;;;;;;;;
CANARINHO;06/12/2018;REMOCAO PARCIAL;"Remocao parcial de 11 familias, outras 40 seguem ameacadas.
A demolicao ocorreu no comeco da noite. A prefeitura alega risco, porem foi um risco causado por uma obra da propria prefeitura.";SAO BERNARDO DO CAMPO;;ABC;Denuncia via parceiros do Observatorio de Remocoes;NAO;AREA DE RISCO;;TERRENO VAZIO;PUBLICA;;40;11;;;;Rua dos Vianas;-23.70719;-46.53116;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""http://abcdmaior.com.br/index.php/2018/12/08/orlando-morando-manda-demolir-casas-proximas-piscinao-da-rua-dos-vianas/"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
JARDIM ESMERALDA;23/11/2018;REMOCAO TOTAL;Ocupacao de 1700 Familias removida, nao ha nenhuma informacao sobre atendimento com auxilio-aluguel, sendo que as familias ficaram completamente desabrigadas e algumas delas foram acolhidas pela ocupacao Vila Nova Esperanca.;TABOAO DA SERRA;;RMSP;Denuncia via parceiros do Observatorio de Remocoes;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PUBLICA;PREFEITURA;;1700;;;;Av. ENG. HEITOR ANTONIO EIRAS GARCIA 89;-23.60536;-46.79536;;;;;;;;;;;;;;
PARQUE SAO BERNARDO;17/11/2018;REMOCAO PARCIAL;Reintegracao de posse ocorreu em pleno final de semana, sem ordem judicial. 70 familias foram removidas e viviam na area a cerca de 1 mes.;SAO BERNARDO DO CAMPO;;ABC;Denuncia via parceiros do Observatorio de Remocoes;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PRIVADA;;;70;;;;;-23.71023;-46.52469;;;;;;;;;;;;;;
JD. ROSAS;10/11/2018;REMOCAO PARCIAL;Cerca de 80 familias foram removidas no Jardim das Rosas em Francisco Morato;FRANCISCO MORATO;;RMSP;Denuncia via parceiros do Observatorio de Remocoes;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PUBLICA;PREFEITURA;;100;;;;;-23.28248;-46.73529;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://www.facebook.com/cidadereporter/videos/2116364888681050/"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
OCUPACAO CHAPECO DA SERRA;07/11/2018;REMOCAO TOTAL;Planejamento da Reintegracao de Posse marcada para o dia 06/11/2018 (nota: verificar se a reintegracao foi efetivada);ITAPECERICA DA SERRA;;RMSP;Denuncia via parceiros do Observatorio de Remocoes;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PUBLICA;PREFEITURA;;200;;;;;-23.749494 ;-46.797572;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://www.redebrasilatual.com.br/cidadania/2018/11/reintegracao-de-posse-em-itapecerica-da-serra-despeja-mais-de-200-familias"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
JARDIM LOURDES / 1 DE MAIO;30/10/2018;REMOCAO TOTAL;Ocupacao de 180 Familias desocupada na zona leste da cidade;SAO PAULO;LAJEADO;LESTE 2;Denuncia via parceiros do Observatorio de Remocoes;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PUBLICA;PREFEITURA;;180;;;;;-23.52804;-46.39486;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://g1.globo.com/sp/sao-paulo/noticia/2018/10/30/prefeitura-desocupa-terreno-na-zona-leste-de-sp-ninguem-queria-ficar-de-graca-diz-moradora.ghtml"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
